words,unique_words,ttr,hapax,ASL,ASW,FK,punct_per_1000__,punct_per_1000____,total_punct_per_1000,label
2,2,1.0,2,1.0,1.5,2.5000000000000036,0.0,0.0,500.0,human
23,18,0.782608695652174,15,23.0,1.434782608695652,10.310434782608699,0.0,0.0,86.95652173913044,human
48,39,0.8125,34,48.0,1.4166666666666667,19.846666666666668,0.0,0.0,62.5,human
21,21,1.0,21,7.0,1.1904761904761905,1.187619047619048,0.0,0.0,190.47619047619045,human
7,7,1.0,7,3.5,1.2857142857142858,0.946428571428573,0.0,0.0,285.7142857142857,human
19,17,0.8947368421052632,15,6.333333333333333,1.1578947368421053,0.5431578947368436,0.0,0.0,263.1578947368421,human
5,5,1.0,5,2.5,1.4,1.9050000000000011,0.0,0.0,400.0,human
14,14,1.0,14,7.0,1.2857142857142858,2.3114285714285714,0.0,0.0,214.28571428571428,human
13,12,0.9230769230769231,11,6.5,1.2307692307692308,1.468076923076925,0.0,0.0,153.84615384615387,human
4,4,1.0,4,4.0,2.0,9.57,0.0,0.0,250.0,human
79,59,0.7468354430379747,48,19.75,1.2531645569620253,6.899841772151898,0.0,0.0,126.58227848101266,human
4,4,1.0,4,2.0,1.0,-3.01,0.0,0.0,250.0,human
1,1,1.0,1,0.5,2.0,8.205000000000002,0.0,0.0,1000.0,human
5,5,1.0,5,2.5,1.2,-0.45500000000000007,0.0,0.0,200.0,human
26,23,0.8846153846153846,21,6.5,1.0769230769230769,-0.347307692307691,0.0,0.0,269.2307692307692,human
7,6,0.8571428571428571,5,2.3333333333333335,1.1428571428571428,-1.194285714285714,0.0,0.0,285.7142857142857,human
26,23,0.8846153846153846,20,6.5,1.2307692307692308,1.468076923076925,0.0,0.0,192.30769230769232,human
7,7,1.0,7,3.5,1.2857142857142858,0.946428571428573,0.0,0.0,142.85714285714286,human
33,30,0.9090909090909091,27,8.25,1.2727272727272727,2.6456818181818207,0.0,0.0,151.51515151515153,human
45,34,0.7555555555555555,27,11.25,1.2,2.9574999999999996,0.0,0.0,177.77777777777777,human
41,36,0.8780487804878049,31,10.25,1.3902439024390243,4.812378048780488,0.0,0.0,170.7317073170732,human
13,13,1.0,13,6.5,1.3076923076923077,2.375769230769233,0.0,0.0,153.84615384615387,human
17,17,1.0,17,5.666666666666667,1.3529411764705883,2.5847058823529423,0.0,0.0,235.2941176470588,human
10,9,0.9,8,5.0,1.2,0.5199999999999996,0.0,0.0,200.0,human
57,47,0.8245614035087719,40,11.4,1.4210526315789473,5.6244210526315825,0.0,0.0,175.43859649122805,human
54,44,0.8148148148148148,37,13.5,1.2962962962962963,4.971296296296298,0.0,0.0,129.62962962962962,human
44,36,0.8181818181818182,28,11.0,1.2727272727272727,3.7181818181818187,0.0,0.0,136.36363636363635,human
30,27,0.9,24,15.0,1.4,6.780000000000001,0.0,0.0,133.33333333333334,human
27,24,0.8888888888888888,22,5.4,1.2962962962962963,1.8122962962962994,0.0,0.0,185.18518518518516,human
31,27,0.8709677419354839,23,6.2,1.2903225806451613,2.0538064516129033,0.0,0.0,161.29032258064515,human
8,8,1.0,8,4.0,1.125,-0.754999999999999,0.0,0.0,250.0,human
24,24,1.0,24,12.0,1.25,3.84,0.0,0.0,83.33333333333333,human
18,17,0.9444444444444444,16,9.0,1.1111111111111112,1.0311111111111124,0.0,0.0,166.66666666666666,human
15,15,1.0,15,7.5,1.2666666666666666,2.2816666666666663,0.0,0.0,266.6666666666667,human
77,57,0.7402597402597403,48,12.833333333333334,1.5714285714285714,7.957857142857147,0.0,0.0,207.79220779220782,human
7,7,1.0,7,3.5,1.1428571428571428,-0.7392857142857139,0.0,0.0,142.85714285714286,human
2,2,1.0,2,2.0,1.5,2.890000000000004,0.0,0.0,500.0,human
93,63,0.6774193548387096,48,9.3,1.4301075268817205,4.912268817204303,0.0,0.0,258.06451612903226,human
68,48,0.7058823529411765,38,34.0,1.6470588235294117,17.10529411764706,0.0,0.0,132.35294117647058,human
